9065 0.0145781
0.53656 0.313914 0.439946
0.52108 0.308207 0.407974
0.35057 0.22093 0.486446
0.518823 0.302258 0.402766
0.52887 0.215006 0.62179
0.558758 0.243504 0.619886
0.24965 0.265508 0.561833
0.29685 0.224091 0.53041
0.499327 0.279379 0.429916
0.297671 0.252889 0.636463
0.24552 0.269707 0.451913
0.297069 0.283424 0.347675
0.503577 0.286081 0.430131
0.54187 0.242427 0.435113
0.336677 0.243016 0.667474
0.311219 0.221945 0.436834
0.361028 0.219652 0.571113
0.410181 0.178799 0.396543
0.490969 0.269264 0.549167
0.284927 0.282779 0.365673
0.287352 0.286612 0.351767
0.293823 0.251561 0.372897
0.447642 0.294392 0.462349
0.531477 0.237707 0.445859
0.253535 0.275364 0.416446
0.353198 0.222565 0.442173
0.536969 0.306023 0.453267
0.534943 0.240303 0.459798
0.369987 0.304049 0.245644
0.485139 0.274882 0.400368
0.31934 0.235821 0.498267
0.383396 0.250166 0.472397
0.491065 0.291956 0.380818
0.558067 0.25616 0.530177
0.286436 0.282617 0.392069
0.364606 0.246997 0.496279
0.405891 0.285635 0.497151
0.49034 0.286283 0.380551
0.494011 0.260865 0.569538
0.52182 0.301897 0.466551
0.50266 0.297074 0.266897
0.266525 0.280689 0.373456
0.441697 0.204454 0.322281
0.244639 0.265429 0.52932
0.454367 0.307216 0.439872
0.521632 0.285922 0.401401
0.51973 0.306631 0.400922
0.463762 0.244236 0.59249
0.501752 0.229786 0.500455
0.424827 0.252895 0.559638
0.333483 0.233739 0.631774
0.395888 0.196442 0.599034
0.46581 0.24073 0.268303
0.317864 0.247878 0.38322
0.307593 0.23322 0.513442
0.312767 0.223574 0.507457
0.308046 0.223652 0.572169
0.5264 0.28399 0.513013
0.518139 0.288983 0.403947
0.466536 0.270881 0.547044
0.534598 0.251726 0.48422
0.315568 0.244573 0.616332
0.539316 0.271586 0.439691
0.286792 0.258963 0.637245
0.301043 0.237925 0.521999
0.314457 0.239026 0.540331
0.356328 0.227811 0.494327
0.401086 0.270583 0.493379
0.515202 0.288996 0.432698
0.523844 0.298527 0.413787
0.541362 0.277913 0.433876
0.459463 0.202974 0.630112
0.514941 0.207997 0.430641
0.483132 0.228008 0.512683
0.485408 0.207637 0.651836
0.41522 0.213752 0.649769
0.351528 0.234216 0.65412
0.272975 0.28079 0.394269
0.293807 0.237116 0.531112
0.417716 0.266441 0.48205
0.46952 0.243252 0.59503
0.523199 0.288043 0.444739
0.549008 0.231799 0.638502
0.532587 0.267075 0.455881
0.461532 0.209035 0.647518
0.420315 0.212133 0.62627
0.52788 0.214997 0.65276
0.325084 0.247218 0.665588
0.242223 0.269006 0.504492
0.246475 0.266605 0.506852
0.304653 0.225356 0.522835
0.39342 0.250035 0.420216
0.483398 0.265659 0.423667
0.533343 0.212145 0.63625
0.546477 0.227562 0.641855
0.55395 0.247613 0.611158
0.459835 0.204312 0.621686
0.621607 0.179356 0.430683
0.311531 0.251811 0.657476
0.317605 0.233458 0.406164
0.351324 0.20233 0.590514
0.376908 0.183928 0.54886
0.384883 0.194998 0.575411
0.474613 0.207668 0.644231
0.499873 0.21197 0.646136
0.559824 0.256354 0.500806
0.55056 0.248667 0.462906
0.595345 0.274139 0.56228
0.420961 0.200914 0.356935
0.269678 0.279581 0.396489
0.306414 0.281794 0.355684
0.306833 0.217864 0.492241
0.370073 0.201561 0.581491
0.366078 0.19654 0.568154
0.53185 0.281618 0.448839
0.516758 0.224407 0.435618
0.584883 0.291767 0.507496
0.514921 0.213726 0.641139
0.41812 0.1779 0.427062
0.240152 0.270057 0.465523
0.243587 0.272345 0.439013
0.262809 0.287382 0.364504
0.294043 0.278955 0.349948
0.35866 0.194021 0.584204
0.38834 0.192185 0.572402
0.507655 0.297859 0.414881
0.47112 0.211549 0.646691
0.530233 0.261134 0.469426
0.359222 0.262965 0.413961
0.589587 0.207798 0.356051
0.289971 0.236669 0.50792
0.303641 0.217606 0.484963
0.325827 0.214936 0.597038
0.36935 0.176469 0.501968
0.512687 0.2948 0.462308
0.529809 0.226033 0.640054
0.503086 0.172181 0.386886
0.397193 0.300651 0.440813
0.376794 0.190683 0.543657
0.563758 0.262621 0.581131
0.491883 0.284083 0.456328
0.314302 0.263165 0.381421
